[2025/04/22 12:40:57] - Namespace(model='ResNet18', batch_size=512, data_dir='./data', epochs=110, lr_schedule='multistep', milestone1=100, milestone2=105, lr_min=0.0, lr_max=0.1, weight_decay=0.0005, momentum=0.9, seed=0, save_epoch=1, inner_gamma=0.15, outer_gamma=0.15, beta=0.6, lamda=0.65, batch_m=0.75, epsilon=8, alpha=8, delta_init='random', out_dir='TDAT_CIFAR100', log='CIFAR100.log')
[2025/04/22 12:42:03] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc 	 FGSM Loss 	 FGSM Acc 	 C&W Loss 	 C&W Acc
[2025/04/22 12:45:43] - 0 	 81.0 	 	 0.1000 	 7.5322 	 	 4.5995 	 0.0343 	 4.3067 	 	 0.0630 	 4.3169 	 0.0460 	 4.3155 	 0.0502 	 4.3123 	 0.0367
[2025/04/22 12:49:40] - 1 	 93.8 	 	 0.1000 	 8.2603 	 	 4.4312 	 0.0563 	 4.1787 	 	 0.0714 	 4.1921 	 0.0543 	 4.1901 	 0.0582 	 4.1862 	 0.0439
[2025/04/22 12:53:32] - 2 	 92.2 	 	 0.1000 	 9.0477 	 	 4.3710 	 0.0731 	 4.0637 	 	 0.1062 	 4.0845 	 0.0783 	 4.0814 	 0.0837 	 4.0753 	 0.0632
[2025/04/22 12:57:18] - 3 	 86.0 	 	 0.1000 	 9.8413 	 	 4.3279 	 0.0862 	 4.0123 	 	 0.1126 	 4.0390 	 0.0828 	 4.0345 	 0.0903 	 4.0289 	 0.0650
[2025/04/22 13:01:04] - 4 	 85.8 	 	 0.1000 	 10.6264 	 	 4.2932 	 0.0977 	 3.9357 	 	 0.1383 	 3.9707 	 0.1000 	 3.9652 	 0.1105 	 3.9579 	 0.0818
[2025/04/22 13:04:50] - 5 	 85.9 	 	 0.1000 	 11.3994 	 	 4.2649 	 0.1084 	 3.8629 	 	 0.1586 	 3.9040 	 0.1093 	 3.8981 	 0.1223 	 3.8891 	 0.0878
[2025/04/22 13:08:37] - 6 	 86.5 	 	 0.1000 	 12.1528 	 	 4.2393 	 0.1219 	 3.8046 	 	 0.1750 	 3.8536 	 0.1193 	 3.8469 	 0.1337 	 3.8355 	 0.0977
[2025/04/22 13:12:23] - 7 	 86.4 	 	 0.1000 	 12.8987 	 	 4.2158 	 0.1323 	 3.7558 	 	 0.1842 	 3.8106 	 0.1242 	 3.8036 	 0.1381 	 3.7925 	 0.1026
[2025/04/22 13:16:09] - 8 	 86.3 	 	 0.1000 	 13.6253 	 	 4.1957 	 0.1440 	 3.6604 	 	 0.1980 	 3.7230 	 0.1235 	 3.7151 	 0.1439 	 3.7019 	 0.1026
[2025/04/22 13:20:03] - 9 	 92.7 	 	 0.1000 	 14.3424 	 	 4.1854 	 0.1503 	 3.6811 	 	 0.2078 	 3.7481 	 0.1361 	 3.7391 	 0.1541 	 3.7256 	 0.1112
